iter	Passed	Remaining
0	7	1544
1	15	1550
2	22	1498
3	31	1531
4	38	1503
5	47	1526
6	55	1532
7	64	1542
8	71	1510
9	78	1486
10	85	1475
11	92	1452
12	100	1451
13	108	1444
14	116	1440
15	123	1422
16	132	1421
17	139	1412
18	147	1406
19	155	1399
20	164	1402
21	171	1389
22	179	1382
23	187	1371
24	194	1363
25	202	1353
26	210	1349
27	218	1342
28	226	1337
29	234	1329
30	243	1325
31	250	1316
32	259	1315
33	268	1312
34	279	1316
35	287	1308
36	295	1302
37	303	1293
38	311	1286
39	319	1276
40	328	1272
41	335	1263
42	344	1256
43	353	1252
44	362	1247
45	370	1240
46	379	1236
47	390	1237
48	400	1235
49	411	1233
50	421	1230
51	433	1233
52	445	1234
53	455	1231
54	464	1225
55	478	1230
56	497	1249
57	510	1251
58	524	1253
59	572	1335
60	589	1342
61	600	1336
62	614	1336
63	659	1401
64	673	1399
65	690	1401
66	703	1396
67	715	1388
68	727	1381
69	741	1376
70	753	1369
71	761	1354
72	773	1344
73	784	1335
74	796	1327
75	808	1319
76	819	1309
77	831	1299
78	842	1291
79	853	1280
80	864	1269
81	875	1259
82	885	1248
83	896	1237
84	907	1227
85	918	1217
86	929	1207
87	940	1197
88	951	1186
89	964	1178
90	976	1170
91	989	1161
92	999	1150
93	1010	1139
94	1020	1128
95	1030	1115
96	1040	1104
97	1052	1095
98	1064	1086
99	1075	1075
100	1086	1064
101	1096	1053
102	1107	1043
103	1118	1032
104	1130	1022
105	1139	1010
106	1151	1000
107	1161	989
108	1169	976
109	1181	966
110	1191	955
111	1203	945
112	1214	935
113	1224	923
114	1235	912
115	1245	902
116	1254	890
117	1264	878
118	1272	866
119	1283	855
120	1294	845
121	1304	834
122	1316	824
123	1330	815
124	1340	804
125	1354	795
126	1366	785
127	1381	776
128	1395	767
129	1408	758
130	1418	747
131	1430	737
132	1441	726
133	1452	715
134	1466	706
135	1477	695
136	1491	685
137	1506	676
138	1521	667
139	1543	661
140	1560	652
141	1577	644
142	1591	634
143	1613	627
144	1632	619
145	1645	608
146	1673	603
147	1794	630
148	1814	621
